      02      9.42478       1.36614085565086E-10
      03     14.13717       4.22152246957238E-10
      04     18.84956       3.73521108832792E-08
      05     23.56194       1.21466400287762E-05
      06     28.27433       1.44058062592123E-01
      07     32.98672       7.65924478186289E+04
      08     37.69911       1.63421861377934E+08
      09     42.41150       3.26596057153663E+15
      10     47.12389       2.97040586479080E+23
      11     51.83628       1.13270429035831E+32
      12     56.54867       1.17143005602684E+41
      13     61.26106       3.37943837055318E+45
      14     65.97345       1.01926548778757E+56
      15     70.68583       5.09423012545795E+64
      16     75.39822       2.67979789784819E+74
      17     80.11061       3.66915783929218E+84
      18     84.82300       1.19306862640302E+90
      19     89.53539       2.27009482941997+101
      20     94.24778       3.49856464368740+110
      21     98.96017       9.93441922477067+120
      22    103.67256       8.58895523858624+130
      23    108.38495       9.78318789697577+137
      24    113.09734       4.96088613814270+147
      25    117.80972       4.02373538620404+156
      26    122.52211       4.10089362592729+164
      27    127.23450       1.57056596268127+169
      28    131.94689       1.71046159785378+170
      29    136.65928       3.66671103382762+171
      30    141.37167       7.50559456317865+171
      31    146.08406       7.45477674732987+171
