      02      9.42478       0.00000000000000E+00
      03     14.13717       0.00000000000000E+00
      04     18.84956       4.30690162025684E-08
      05     23.56194       8.81931821858998E-05
      06     28.27433       1.71037858814354E-01
      07     32.98672       7.08668639639298E+01
      08     37.69911       3.69339721235156E+06
      09     42.41150       4.41109328956467E+13
      10     47.12389       8.71464457216973E+19
      11     51.83628       8.57456700191990E+27
      12     56.54867       1.52966590591020E+36
      13     61.26106       2.63761680956559E+43
      14     65.97345       2.44660597467704E+52
      15     70.68583       1.65753712330683E+61
      16     75.39822       4.12247531659616E+69
      17     80.11061       8.94461105056260E+78
      18     84.82300       3.28645815023764E+87
      19     89.53539       2.39868273696372E+97
      20     94.24778       5.04721423799907+106
      21     98.96017       3.43851109247031+115
      22    103.67256       2.84715767489632+125
      23    108.38495       1.54170201883543+134
      24    113.09734       5.34683123164870+144
      25    117.80972       1.39503984874229+152
      26    122.52211       5.94471183119092+160
      27    127.23450       1.07219361766604+169
      28    131.94689       9.51668708948025+173
      29    136.65928       3.13685962005333+175
      30    141.37167       3.13676162645177+175
      31    146.08406       3.13676162645177+175
