      02      9.42478       1.19369230719558E-37
      03     14.13717       2.98941678488410E-36
      04     18.84956       5.59338575183552E-33
      05     23.56194       7.93620744711969E-28
      06     28.27433       1.21623381664856E-25
      07     32.98672       4.15304774366439E-25
      08     37.69911       3.59400377924930E-26
      09     42.41150       7.04953331435254E-25
      10     47.12389       1.44905264461465E-22
      11     51.83628       1.21400846479971E-21
      12     56.54867       7.56083409508752E-22
      13     61.26106       9.63117400062432E-24
      14     65.97345       2.73030148658863E-21
      15     70.68583       2.99791512573125E-20
      16     75.39822       1.16309546118129E-20
      17     80.11061       1.55941907499612E-20
      18     84.82300       7.24695425471883E-22
      19     89.53539       1.45228413145610E-19
      20     94.24778       2.82973945228807E-19
      21     98.96017       9.16769872092759E-20
      22    103.67256       2.69491978977941E-20
      23    108.38495       1.04018908373081E-20
      24    113.09734       1.73262942788831E-19
      25    117.80972       9.41797648781613E-20
      26    122.52211       5.93957401504411E-21
      27    127.23450       1.48037681454406E-22
      28    131.94689       1.59611504278134E-22
      29    136.65928       1.45908827012421E-22
      30    141.37167       5.71336640726167E-45
      31    146.08406       4.72551554384896E-46
