      02      9.42478       1.36614085565086E-10
      03     14.13717       4.22152246957238E-10
      04     18.84956       3.81726868172735E-08
      05     23.56194       1.32517717869389E-05
      06     28.27433       1.92552005288301E-01
      07     32.98672       1.10268456376089E+05
      08     37.69911       2.18053319172360E+08
      09     42.41150       4.28132720245211E+15
      10     47.12389       3.89012127298512E+23
      11     51.83628       1.46522754774132E+32
      12     56.54867       1.53220455783879E+41
      13     61.26106       4.45375926418268E+45
      14     65.97345       1.38384886389690E+56
      15     70.68583       7.11358511039545E+64
      16     75.39822       3.75864684395104E+74
      17     80.11061       5.17713448551593E+84
      18     84.82300       1.69114176272011E+90
      19     89.53539       3.44031700288715+101
      20     94.24778       5.65844211968132+110
      21     98.96017       1.61632673455941+121
      22    103.67256       1.40310122483980+131
      23    108.38495       1.59434759813389+138
      24    113.09734       8.13264996239001+147
      25    117.80972       6.64277130812656+156
      26    122.52211       6.71193588901839+164
      27    127.23450       2.54704291804550+169
      28    131.94689       2.44348004111169+170
      29    136.65928       5.77909238516865+171
      30    141.37167       1.16326758314223+172
      31    146.08406       1.15432625895350+172
