      02      9.42478       7.37603893904784E-22
      03     14.13717       1.83591947331087E-20
      04     18.84956       3.26202804329148E-17
      05     23.56194       7.39052361687372E-13
      06     28.27433       3.56482462936414E-09
      07     32.98672       4.11487260958637E-02
      08     37.69911       9.53766290458416E-03
      09     42.41150       2.08804605489835E+03
      10     47.12389       2.12852190391516E+09
      11     51.83628       7.77522106267784E+10
      12     56.54867       3.64278712242890E+13
      13     61.26106       6.30641260175056E+12
      14     65.97345       6.77581808283408E+15
      15     70.68583       2.09191239685563E+19
      16     75.39822       2.84573379152656E+22
      17     80.11061       9.21401629629058E+24
      18     84.82300       1.09633262503170E+24
      19     89.53539       4.76152719491163E+29
      20     94.24778       2.13373142132669E+34
      21     98.96017       7.62690654175599E+37
      22    103.67256       1.10611061955487E+41
      23    108.38495       2.15845912346789E+41
      24    113.09734       3.15108125801406E+47
      25    117.80972       6.62836098992880E+53
      26    122.52211       4.66662864008055E+57
      27    127.23450       4.06844012921251E+57
      28    131.94689       5.25417886005492E+56
      29    136.65928       1.18472701809617E+56
      30    141.37167       6.28783391081024E+29
